month year,Pcs / Pk,Quantity,UnitPrice,OTIF,Embelishment Cost,TotalQuantity,TotalSales
9/1/2018,3,12125,5.82,,0.053,36375,211702.5
9/1/2018,3,6000,5.82,,0.053,18000,104760
9/1/2018,3,2050,5.82,,0.053,6150,35793
9/1/2018,3,3000,2.34,,0,9000,21060
9/1/2018,7,16000,5.91,,0.207,112000,661920
9/1/2018,7,5000,5.91,,0.15,35000,206850
9/1/2018,7,6050,5.91,,0.15,42350,250288.5
9/1/2018,7,10500,5.93,,0.234,73500,435855
2/1/2019,3,5000,2.75,,0,15000,41250
2/1/2019,3,7500,2.33,,0,22500,52425
2/1/2019,3,11310,2.35,,0,33930,79735.5
2/1/2019,3,13000,2.34,,0,39000,91260
2/1/2019,7,18750,5.96,,0.154,131250,782250
2/1/2019,7,14375,5.96,,0.154,100625,599725
1/1/2019,3,7500,2.75,,0,22500,61875
1/1/2019,3,7500,2.33,,0,22500,52425
1/1/2019,3,11310,2.35,,0,33930,79735.5
1/1/2019,3,5250,5.96,,0.201,15750,93870
1/1/2019,3,13000,2.34,,0,39000,91260
1/1/2019,7,7875,5.96,,0.174,55125,328545
1/1/2019,7,3725,5.96,,0.154,26075,155407
3/1/2019,3,7500,2.75,,0,22500,61875
3/1/2019,3,25000,2.33,,0,75000,174750
3/1/2019,3,21060,2.35,,0,63180,148473
3/1/2019,3,8000,2.34,,0,24000,56160
3/1/2019,7,2500,5.96,,0.165,17500,104300
3/1/2019,7,15750,5.96,,0.154,110250,657090
3/1/2019,7,8750,5.96,,0.154,61250,365050
4/1/2019,3,11250,2.78,,,33750,93825
4/1/2019,3,5000,2.34,,0,15000,35100
4/1/2019,3,5000,2.35,,,15000,35250
4/1/2019,7,10000,5.96,,0.165,70000,417200
4/1/2019,7,11250,5.96,,0.154,78750,469350
4/1/2019,7,36250,5.94,,0.154,253750,1507275
8/1/2019,2,3000,2.78,,,6000,16680
8/1/2019,3,13750,2.78,,,41250,114675
8/1/2019,3,12500,2.32,,,37500,87000
8/1/2019,3,17500,2.35,,,52500,123375
8/1/2019,7,7500,6,,0.165,52500,315000
8/1/2019,7,1729,6,,0.17,12103,72618
8/1/2019,5,19302,5.2,,0.124,96510,501852
8/1/2019,7,12124,6,,0.185,84868,509208
8/1/2019,7,10000,5.94,,0.154,70000,415800
12/1/2019,2,9120,2,,,18240,36480
12/1/2019,2,18000,2,,,36000,72000
12/1/2019,3,13800,5.89,,0.113,41400,243846
12/1/2019,3,25550,5.89,,0.062,76650,451468.5
12/1/2019,3,19000,5.89,,0.062,57000,335730
12/1/2019,3,4400,2.78,,,13200,36696
12/1/2019,3,5600,2.78,,,16800,46704
12/1/2019,3,4300,2.33,,,12900,30057
12/1/2019,3,20850,2.33,,,62550,145741.5
12/1/2019,3,5700,2.33,,,17100,39843
12/1/2019,3,3450,2.37,,,10350,24529.5
12/1/2019,3,225,2.37,,,675,1599.75
12/1/2019,3,4050,2.37,,,12150,28795.5
12/1/2019,3,2500,5.89,,0.052,7500,44175
12/1/2019,7,12700,6.03,,0.175,88900,536067
12/1/2019,7,26000,6.03,,0.175,182000,1097460
12/1/2019,1,10830,2.55,,0.154,10830,27616.5
12/1/2019,7,15500,6.03,,0.206,108500,654255
12/1/2019,7,17500,6.03,,0.185,122500,738675
12/1/2019,3,10875,5.89,,0.051,32625,192161.25
12/1/2019,7,1250,6.03,,0.184,8750,52762.5
12/1/2019,7,4050,6.03,,0.154,28350,170950.5
12/1/2019,3,4650,5.89,,0.082,13950,82165.5
12/1/2019,3,2850,5.89,,0.051,8550,50359.5
12/1/2019,7,3025,6.03,,0.154,21175,127685.25
